team_id	team_name	team_seed	team_region	Kenpom Pyth	playin_flag	team_alive	rd1_win	rd2_win	rd3_win	rd4_win	rd5_win	rd6_win	rd7_win	win_odds	timestamp
2747	Wofford	12	West	0.6617	0	1	1	0.239058643	0.040547184	0.003473075	0.00034143	2.90E-05	5.19E-06	192688.5287	46:10.8
2617	Stephen F. Austin	12	South	0.8183	0	1	1	0.177486772	0.081487057	0.025266618	0.009180095	0.001925142	0.000257241	3886.405497	46:10.8
2751	Wyoming	12	East	0.6373	0	1	1	0.247315444	0.082730727	0.006737053	0.000910041	0.000155845	1.21E-05	82437.44763	46:10.8
2674	Valparaiso	13	Midwest	0.7499	0	1	1	0.275327122	0.090233574	0.00501227	0.001352146	0.000256674	6.35E-05	15740.46724	46:10.8
108	Harvard	13	West	0.7058	0	1	1	0.131933179	0.048267622	0.005752292	0.000760294	8.09E-05	1.75E-05	57174.84997	46:10.8
331	Eastern Washington	13	South	0.5618	0	1	1	0.226081899	0.033116214	0.002680985	0.000285239	2.14E-05	9.91E-07	1008970.235	46:10.8
300	UC Irvine	13	East	0.656	0	1	1	0.245142915	0.077806286	0.005483199	0.000651349	9.97E-05	6.85E-06	146022.1537	46:10.8
111	Northeastern	14	Midwest	0.598	0	1	1	0.100727086	0.020704683	0.003303138	0.000171196	1.64E-05	2.27E-06	439790.672	46:10.8
2247	Georgia State	14	West	0.7345	0	1	1	0.241545787	0.091510896	0.008083231	0.001232919	0.000136054	3.03E-05	33037.54385	46:10.8
5	UAB	14	South	0.5979	0	1	1	0.092103192	0.023711332	0.003169751	0.000462287	5.31E-05	3.81E-06	262746.1999	46:10.8
399	Albany	14	East	0.5678	0	1	1	0.098102187	0.021049231	0.002456655	0.000336238	4.64E-05	2.85E-06	350321.8878	46:10.8
166	New Mexico State	15	Midwest	0.6674	0	1	1	0.093340991	0.018945617	0.003418923	0.000192235	2.29E-05	3.83E-06	261171.4764	46:10.8
2640	Texas Southern	15	West	0.4111	0	1	1	0.006787383	0.000665616	8.55E-05	4.82E-06	1.52E-07	1.16E-08	86063084.64	46:10.8
2449	North Dakota State	15	South	0.5258	0	1	1	0.025723201	0.005142013	0.000639084	6.93E-05	6.36E-06	3.65E-07	2741237.482	46:10.8
2057	Belmont	15	East	0.5363	0	1	1	0.034760464	0.006520704	0.001197777	0.000127899	2.19E-05	1.73E-06	578896.8098	46:10.8
324	Coastal Carolina	16	West	0.5371	0	1	1	0.014660629	0.00288794	0.000374117	2.38E-05	1.28E-06	1.56E-07	6411345.892	46:10.8
322	Lafayette	16	East	0.4284	0	1	1	0.01506235	0.002641693	0.000549777	5.26E-05	4.83E-06	1.91E-07	5228901.172	46:10.8
252	Brigham Young	11a	West	0.8396	1	1	0.437774958	0.169717095	0.062007276	0.01317743	0.004199133	0.000655408	0.000193975	5154.295052	46:10.8
68	Boise State	11a	East	0.8091	1	1	0.266217658	0.096961799	0.028468712	0.005254229	0.001073731	0.000296167	4.03E-05	24804.39617	46:10.8
145	Ole Miss	11b	West	0.7996	1	1	0.562225042	0.25458757	0.107786826	0.0163399	0.003935709	0.000645366	0.000198561	5035.241244	46:10.8
2168	Dayton	11b	East	0.8057	1	1	0.733782342	0.376735987	0.157369926	0.037188083	0.009366535	0.003419223	0.000647733	1542.846364	46:10.8
2363	Manhattan	16a	Midwest	0.541	1	1	0.727241878	0.003710947	0.000796302	0.00019134	3.42E-05	3.38E-06	4.83E-07	2069563.69	46:10.8
2454	North Florida	16a	South	0.578	1	1	0.514859792	0.016979683	0.004731167	0.000763715	0.000100054	9.63E-06	5.81E-07	1719774.818	46:10.8
2261	Hampton	16b	Midwest	0.3131	1	1	0.272758122	0.0002629	2.59E-05	3.02E-06	2.54E-07	1.19E-08	9.05E-10	1105021167	46:10.8
2523	Robert Morris	16b	South	0.4629	1	1	0.485140208	0.009664924	0.002074959	0.000268578	2.80E-05	2.92E-06	1.92E-07	5204093.39	46:10.8
